gene	family	Phylostratum
at1g01010	HOM000018	LandPlants
at1g01020	HOM005985	LandPlants
at1g01030	HOM000447	LandPlants
at1g01040	HOM000204	GreenPlants
at1g01050	HOM001039	GreenPlants
at1g01060	HOM005234	Angiosperms
at1g01070	HOM000059	GreenPlants
at1g01073	HOM099113	AT
at1g01080	HOM000172	GreenPlants
at1g01090	HOM001365	GreenPlants
at1g01100	HOM000057	GreenPlants
at1g01110	HOM000228	GreenPlants
at1g01115	HOM094247	AT
at1g01120	HOM000134	GreenPlants
at1g01130	HOM013779	Arabidopsis
at1g01140	HOM000044	GreenPlants
at1g01150	HOM019458	Arabidopsis
at1g01160	HOM001532	GreenPlants
at1g01170	HOM003167	LandPlants
at1g01180	HOM006651	LandPlants
at1g01190	HOM000005	GreenPlants
at1g01200	HOM000032	GreenPlants
at1g01210	HOM005081	GreenPlants
at1g01220	HOM001584	GreenPlants
at1g01225	HOM001037	Angiosperms
at1g01230	HOM001136	GreenPlants
at1g01240	HOM001390	GreenPlants
at1g01250	HOM000010	GreenPlants
at1g01260	HOM000158	LandPlants
at1g01280	HOM000005	GreenPlants
at1g01290	HOM000391	GreenPlants
at1g01300	HOM000037	GreenPlants
at1g01305	HOM030702	Arabidopsis
at1g01310	HOM000169	GreenPlants
at1g01320	HOM000792	GreenPlants
at1g01340	HOM000123	GreenPlants
at1g01350	HOM002930	GreenPlants
at1g01355	HOM000672	LandPlants
at1g01360	HOM000428	LandPlants
at1g01370	HOM000162	GreenPlants
at1g01380	HOM000007	GreenPlants
at1g01390	HOM000016	LandPlants
at1g01400	HOM029797	Arabidopsis
at1g01410	HOM007063	Arabidopsis
at1g01420	HOM000016	LandPlants
at1g01430	HOM000050	LandPlants
at1g01440	HOM002059	LandPlants
at1g01450	HOM001811	LandPlants
at1g01453	HOM006998	Rosids
at1g01460	HOM000224	GreenPlants
at1g01470	HOM001398	LandPlants
at1g01471	HOM054800	AT
at1g01480	HOM000557	GreenPlants
at1g01490	HOM000700	Angiosperms
at1g01500	HOM001788	LandPlants
at1g01510	HOM003209	LandPlants
at1g01520	HOM000576	GreenPlants
at1g01530	HOM000039	GreenPlants
at1g01540	HOM000004	GreenPlants
at1g01550	HOM001949	LandPlants
at1g01560	HOM000019	GreenPlants
at1g01570	HOM000407	LandPlants
at1g01580	HOM000583	GreenPlants
at1g01590	HOM000583	GreenPlants
at1g01600	HOM000093	GreenPlants
at1g01610	HOM000384	LandPlants
at1g01620	HOM000085	GreenPlants
at1g01630	HOM000104	GreenPlants
at1g01640	HOM002599	LandPlants
at1g01650	HOM001115	GreenPlants
at1g01660	HOM000047	GreenPlants
at1g01670	HOM000047	GreenPlants
at1g01680	HOM000047	GreenPlants
at1g01690	HOM002084	Eudicots
at1g01695	HOM002084	Eudicots
at1g01700	HOM000330	GreenPlants
at1g01710	HOM003339	LandPlants
at1g01720	HOM000018	LandPlants
at1g01725	HOM001597	GreenPlants
at1g01730	HOM005979	Eudicots
at1g01740	HOM000443	LandPlants
at1g01750	HOM000392	GreenPlants
at1g01760	HOM004909	GreenPlants
at1g01770	HOM006427	LandPlants
at1g01780	HOM000570	GreenPlants
at1g01790	HOM000804	GreenPlants
at1g01800	HOM000296	GreenPlants
at1g01810	HOM031601	Arabidopsis
at1g01820	HOM003176	GreenPlants
at1g01830	HOM000835	LandPlants
at1g01840	HOM007249	Eudicots
at1g01860	HOM005842	GreenPlants
at1g01880	HOM004914	GreenPlants
at1g01900	HOM000020	GreenPlants
at1g01910	HOM005331	GreenPlants
at1g01920	HOM005254	GreenPlants
at1g01930	HOM004489	GreenPlants
at1g01940	HOM000111	GreenPlants
at1g01950	HOM000030	GreenPlants
at1g01960	HOM000397	GreenPlants
at1g01970	HOM000003	GreenPlants
at1g01980	HOM000153	GreenPlants
at1g01990	HOM017307	Brassicales
at1g02000	HOM000461	GreenPlants
at1g02010	HOM001130	GreenPlants
at1g02020	HOM006135	LandPlants
at1g02030	HOM000155	LandPlants
at1g02040	HOM000155	LandPlants
at1g02050	HOM000238	LandPlants
at1g02060	HOM000003	GreenPlants
at1g02065	HOM000152	GreenPlants
at1g02070	HOM001956	VascularPlants
at1g02074	HOM031189	Arabidopsis
at1g02080	HOM002212	GreenPlants
at1g02090	HOM002387	GreenPlants
at1g02100	HOM004516	GreenPlants
at1g02110	HOM000194	LandPlants
at1g02120	HOM003938	GreenPlants
at1g02130	HOM000032	GreenPlants
at1g02140	HOM003412	GreenPlants
at1g02145	HOM004603	GreenPlants
at1g02150	HOM000199	GreenPlants
at1g02160	HOM007826	LandPlants
at1g02170	HOM000912	GreenPlants
at1g02180	HOM002698	VascularPlants
at1g02190	HOM000594	GreenPlants
at1g02205	HOM000594	GreenPlants
at1g02210	HOM000018	LandPlants
at1g02220	HOM000018	LandPlants
at1g02230	HOM000018	LandPlants
at1g02250	HOM000018	LandPlants
at1g02260	HOM000043	GreenPlants
at1g02270	HOM002205	GreenPlants
at1g02280	HOM000636	GreenPlants
at1g02290	HOM002867	LandPlants
at1g02300	HOM000058	GreenPlants
at1g02305	HOM000058	GreenPlants
at1g02310	HOM000001	GreenPlants
at1g02320	HOM067161	AT
at1g02330	HOM006353	GreenPlants
at1g02335	HOM000084	LandPlants
at1g02340	HOM000075	LandPlants
at1g02350	HOM054812	AT
at1g02360	HOM000272	LandPlants
at1g02370	HOM000199	GreenPlants
at1g02380	HOM002359	Angiosperms
at1g02390	HOM000384	LandPlants
at1g02391	HOM079690	AT
at1g02400	HOM000011	GreenPlants
at1g02405	HOM023834	Arabidopsis
at1g02410	HOM004993	GreenPlants
at1g02420	HOM000003	GreenPlants
at1g02430	HOM000113	GreenPlants
at1g02440	HOM000113	GreenPlants
at1g02450	HOM024618	Arabidopsis
at1g02460	HOM000070	LandPlants
at1g02470	HOM003518	GreenPlants
at1g02475	HOM003518	GreenPlants
at1g02490	HOM062990	AT
at1g02500	HOM000932	GreenPlants
at1g02510	HOM000611	GreenPlants
at1g02520	HOM000071	GreenPlants
at1g02530	HOM000071	GreenPlants
at1g02540	HOM079695	AT
at1g02550	HOM005776	Rosids
at1g02560	HOM000202	GreenPlants
at1g02570	HOM005176	Rosids
at1g02575	HOM005176	Rosids
at1g02580	HOM001507	GreenPlants
at1g02590	HOM000717	GreenPlants
at1g02610	HOM000596	GreenPlants
at1g02620	HOM000113	GreenPlants
at1g02630	HOM000921	GreenPlants
at1g02640	HOM000326	LandPlants
at1g02650	HOM002483	Angiosperms
at1g02660	HOM001709	GreenPlants
at1g02670	HOM000502	GreenPlants
at1g02680	HOM004611	GreenPlants
at1g02690	HOM000602	GreenPlants
at1g02700	HOM006954	Eudicots
at1g02710	HOM118217	AT
at1g02720	HOM000191	GreenPlants
at1g02730	HOM000082	GreenPlants
at1g02740	HOM002460	GreenPlants
at1g02750	HOM000535	LandPlants
at1g02770	HOM002631	Arabidopsis
at1g02780	HOM001380	GreenPlants
at1g02790	HOM000070	LandPlants
at1g02800	HOM000137	GreenPlants
at1g02810	HOM000034	GreenPlants
at1g02813	HOM000455	GreenPlants
at1g02816	HOM000455	GreenPlants
at1g02820	HOM003173	Eudicots
at1g02830	HOM001605	GreenPlants
at1g02840	HOM000698	GreenPlants
at1g02850	HOM000064	GreenPlants
at1g02860	HOM002141	GreenPlants
at1g02870	HOM000121	GreenPlants
at1g02880	HOM002728	GreenPlants
at1g02890	HOM000025	GreenPlants
at1g02900	HOM000372	LandPlants
at1g02910	HOM001449	GreenPlants
at1g02920	HOM000393	LandPlants
at1g02930	HOM000393	LandPlants
at1g02940	HOM000393	LandPlants
at1g02950	HOM000393	LandPlants
at1g02960	HOM007158	Eudicots
at1g02965	HOM007158	Eudicots
at1g02970	HOM002764	GreenPlants
at1g02980	HOM000283	GreenPlants
at1g02990	HOM002040	VascularPlants
at1g03000	HOM000025	GreenPlants
at1g03010	HOM000092	GreenPlants
at1g03020	HOM000149	GreenPlants
at1g03022	HOM040421	AT
at1g03030	HOM002043	GreenPlants
at1g03040	HOM000075	LandPlants
at1g03050	HOM000251	GreenPlants
at1g03055	HOM001351	GreenPlants
at1g03060	HOM000573	GreenPlants
at1g03070	HOM000951	GreenPlants
at1g03080	HOM000841	VascularPlants
at1g03090	HOM000981	GreenPlants
at1g03100	HOM001925	Angiosperms
at1g03103	HOM000930	LandPlants
at1g03106	HOM038365	AT
at1g03110	HOM004650	GreenPlants
at1g03120	HOM001256	LandPlants
at1g03130	HOM003605	GreenPlants
at1g03140	HOM001891	GreenPlants
at1g03150	HOM004105	GreenPlants
at1g03160	HOM003289	GreenPlants
at1g03170	HOM002516	Eudicots
at1g03180	HOM006717	GreenPlants
at1g03190	HOM005545	GreenPlants
at1g03200	HOM052737	AT
at1g03210	HOM001868	GreenPlants
at1g03220	HOM000521	VascularPlants
at1g03230	HOM000521	VascularPlants
at1g03240	HOM065070	AT
at1g03250	HOM005559	GreenPlants
at1g03260	HOM001522	GreenPlants
at1g03270	HOM000679	GreenPlants
at1g03280	HOM001842	GreenPlants
at1g03290	HOM004791	LandPlants
at1g03300	HOM000757	VascularPlants
at1g03310	HOM001297	GreenPlants
at1g03320	HOM022023	Arabidopsis
at1g03330	HOM000231	GreenPlants
at1g03340	HOM005446	Angiosperms
at1g03350	HOM001998	GreenPlants
at1g03360	HOM001914	GreenPlants
at1g03365	HOM001710	LandPlants
